"sampleID","subgroup1","subgroup2","prob1","prob2"
"TCGA.G9.6496","3","4","0.8228421211242676","0.10131021589040756"
"TCGA.HC.7819","3","4","0.7707581520080566","0.22059278190135956"
"TCGA.HC.8259","3","4","0.67190021276474","0.3081101179122925"
"TCGA.J9.A52E","1","3","0.7409052848815918","0.20242689549922943"
"TCGA.KK.A59V","3","2","0.6552852988243103","0.34422358870506287"
"TCGA.KK.A7AW","3","4","0.807659924030304","0.1133786216378212"
"TCGA.KK.A7AY","4","3","0.866904079914093","0.11426835507154465"
"TCGA.KK.A8IM","3","2","0.7942919135093689","0.14110787212848663"
"TCGA.V1.A8MM","3","4","0.9048562049865723","0.050414200872182846"
"TCGA.ZG.A9L9","3","2","0.8978455066680908","0.05600045248866081"
"TCGA.ZG.A9LB","3","1","0.7149041891098022","0.2759237289428711"
"TCGA.A4.7287","2","1","0.6023424863815308","0.3292776942253113"
"TCGA.AL.3467","5","4","0.8537961840629578","0.11353931576013565"
"TCGA.B3.4104","4","2","0.8294689059257507","0.1081874668598175"
"TCGA.HE.7130","3","1","0.8651444911956787","0.13255168497562408"
"TCGA.HE.A5NK","3","4","0.5417928099632263","0.4506397843360901"
"TCGA.2J.AABP","2","1","0.6296238303184509","0.31601446866989136"
"TCGA.3A.A9IJ","4","5","0.8787291049957275","0.0639716386795044"
"TCGA.3A.A9IS","4","5","0.6036708354949951","0.3773172199726105"
"TCGA.3A.A9IV","3","4","0.694429337978363","0.27029240131378174"
"TCGA.HV.A7OP","4","3","0.9036266803741455","0.06833750754594803"
"TCGA.HZ.7289","1","4","0.8280820846557617","0.10278194397687912"
"TCGA.HZ.7924","3","1","0.6240074038505554","0.3680196702480316"
"TCGA.HZ.8638","3","2","0.6062096357345581","0.3739038407802582"
"TCGA.IB.AAUV","3","6","0.8448145389556885","0.15049128234386444"
"TCGA.RL.AAAS","3","6","0.5528138875961304","0.40346086025238037"
"TCGA.US.A77J","3","6","0.8893459439277649","0.10043410211801529"
"TCGA.3B.A9HJ","3","2","0.7959464192390442","0.19783394038677216"
